1;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
2;	0.24844310965 ,0.24844310965 ,0.24844310965 ,0.24844310965 ,0.00622756140166;	39.8941244615 ,39.8941244615 ,39.8941244615 ,39.8941244615 ,1.0
3;	0.244525344925 ,0.246393348679 ,0.246488451674 ,0.246354187625 ,0.0162386670975;	15.0582152745 ,15.1732495776 ,15.1791061541 ,15.1708379848 ,1.0
4;	0.25024185389 ,0.24225713378 ,0.247815382539 ,0.237077467811 ,0.0226081619788;	11.0686509644 ,10.7154723152 ,10.9613237366 ,10.486366297 ,1.0
5;	0.238344055527 ,0.244310750964 ,0.236268716065 ,0.241535951847 ,0.039540525596;	6.0278423702 ,6.17874313207 ,5.97535597982 ,6.10856705132 ,1.0
6;	0.223636401377 ,0.227539193598 ,0.23223891846 ,0.237375525345 ,0.0792099612198;	2.8233368371 ,2.87260831964 ,2.93194081759 ,2.996788809 ,1.0
7;	1.46599136073e-08 ,4.88539165806e-12 ,3.82582697775e-16 ,3.04672068015e-14 ,0.999999985335;	1.46599138223e-08 ,4.88539172971e-12 ,3.82582703385e-16 ,3.04672072483e-14 ,1.0
8;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
9;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
10;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
11;	1.77258342466e-28 ,1.77772516871e-28 ,1.888802641e-28 ,2.89413133224e-28 ,1.0;	1.77258342466e-28 ,1.77772516871e-28 ,1.888802641e-28 ,2.89413133224e-28 ,1.0
12;	2.7935680129e-72 ,5.55838652755e-61 ,1.63570844863e-66 ,2.98203068873e-92 ,1.0;	2.7935680129e-72 ,5.55838652755e-61 ,1.63570844863e-66 ,2.98203068873e-92 ,1.0
