0;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
1;	0.246809263195 ,0.246809263195 ,0.246809263195 ,0.246809263195 ,0.0127629472215;	19.3379521917 ,19.3379521917 ,19.3379521917 ,19.3379521917 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
3;	5.49651974934e-16 ,4.43990427098e-05 ,0.000202877155036 ,8.26139798083e-15 ,0.999752723802;	5.49787924402e-16 ,4.44100242517e-05 ,0.000202927334135 ,8.26344133318e-15 ,1.0
4;	0.00311778744134 ,1.58646696038e-08 ,0.996781795715 ,0.000100400979149 ,5.58361803617e-14;	55838121826.0 ,284128.848016 ,1.78518979854e+13 ,1798134802.53 ,1.0
5;	0.232512064322 ,0.271069192897 ,0.237827393433 ,0.258576238697 ,1.51106519972e-05;	15387.2952911 ,17938.9475018 ,15739.055699 ,17112.1827665 ,1.0
6;	0.44882523863 ,0.286690744929 ,0.0398169307173 ,0.0994213866223 ,0.125245699101;	3.58355809302 ,2.28902666508 ,0.317910563021 ,0.793810784209 ,1.0
7;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
8;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
9;	0.0164828355518 ,0.933032961695 ,0.0144869629442 ,0.0100760486315 ,0.0259211911772;	0.63588264286 ,35.9949878583 ,0.558884923351 ,0.388718580201 ,1.0
10;	0.228055630003 ,0.227538630681 ,0.242624068311 ,0.260942092315 ,0.0408395786913;	5.58418174993 ,5.57152247825 ,5.94090527096 ,6.38944133795 ,1.0
11;	0.211685441716 ,0.191138387766 ,0.200909552503 ,0.187213360028 ,0.209053257987;	1.01259097205 ,0.914304754711 ,0.96104482866 ,0.895529502052 ,1.0
12;	0.244489885653 ,0.246209554732 ,0.248287772541 ,0.248442484672 ,0.0125703024022;	19.4498014312 ,19.586605545 ,19.7519331355 ,19.7642408848 ,1.0
