3;	0.00161995948497 ,0.00161293706478 ,0.00161302598751 ,0.00161108767546 ,0.993542989787;	0.0016304875598 ,0.00162341950108 ,0.00162350900171 ,0.00162155809262 ,1.0
4;	0.24469504685 ,0.239345628214 ,0.248152772026 ,0.24886337696 ,0.0189431759514;	12.9173190112 ,12.6349260983 ,13.0998504507 ,13.1373629004 ,1.0
5;	0.248282450609 ,0.247963642932 ,0.236789178381 ,0.248267264758 ,0.0186974633197;	13.2789377021 ,13.2618868502 ,12.6642408295 ,13.2781255143 ,1.0
6;	0.28799817403 ,0.219771026446 ,0.170481491415 ,0.282648393893 ,0.0391009142163;	7.36550998365 ,5.62061094608 ,4.36003850121 ,7.22869016131 ,1.0
7;	7.29333412266e-208 ,3.09821721631e-209 ,3.67163150525e-207 ,4.49251284387e-195 ,1.0;	7.29333412266e-208 ,3.09821721631e-209 ,3.67163150525e-207 ,4.49251284387e-195 ,1.0
8;	0.249475820704 ,0.247234100876 ,0.250472572993 ,0.252817505427 ,2.35304546932e-196;	1.06022524408e+195 ,1.05069835708e+195 ,1.06446125355e+195 ,1.07442677468e+195 ,1.0
9;	0.240929627147 ,0.237869859719 ,0.238686024478 ,0.237249257134 ,0.045265231522;	5.32262001201 ,5.25502359584 ,5.27305431679 ,5.24131323659 ,1.0
10;	0.161251681978 ,0.162038615789 ,0.160607139341 ,0.162539184199 ,0.353563378693;	0.456075746799 ,0.458301468856 ,0.454252756422 ,0.459717250129 ,1.0
11;	0.13445278982 ,0.142996888014 ,0.13797315948 ,0.137394680628 ,0.447182482058;	0.300666495703 ,0.319773009346 ,0.308538829261 ,0.307245221226 ,1.0
12;	0.227703341484 ,0.227989311273 ,0.228530139931 ,0.222049741145 ,0.0937274661658;	2.42941957997 ,2.43247065775 ,2.4382408837 ,2.36910001122 ,1.0
