10;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
11;	0.203534962277 ,0.294045757014 ,0.300911404864 ,0.192258419785 ,0.00924945605998;	22.0050736991 ,31.7905999129 ,32.5328757618 ,20.7859163327 ,1.0
12;	6.28645181177e-33 ,9.06007576879e-34 ,8.88666081327e-32 ,1.20153122613e-32 ,1.0;	6.28645181177e-33 ,9.06007576879e-34 ,8.88666081327e-32 ,1.20153122613e-32 ,1.0
