2;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
3;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
4;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
5;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
6;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
7;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
8;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
9;	0.269889259964 ,0.173733563554 ,0.269889259964 ,0.286487916519 ,2.32217402358e-169;	1.16222667735e+168 ,7.48150490832e+167 ,1.16222667735e+168 ,1.23370562934e+168 ,1.0
10;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
11;	6.02904562072e-162 ,1.20354920832e-168 ,2.21065156614e-178 ,6.52009974051e-181 ,1.0;	6.02904562072e-162 ,1.20354920832e-168 ,2.21065156614e-178 ,6.52009974051e-181 ,1.0
12;	0.256340870662 ,0.267765777617 ,0.249785385004 ,0.226107966718 ,2.68996103967e-26;	9.52953841638e+24 ,9.95426229852e+24 ,9.28583653516e+24 ,8.40562236341e+24 ,1.0
