6;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
7;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
8;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
9;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
10;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
11;	0.244159213875 ,0.171070758311 ,0.349370001747 ,0.0108744522902 ,0.224525573777;	1.08744500579 ,0.76192103836 ,1.55603656132 ,0.0484330230506 ,1.0
12;	0.256001585026 ,0.249231727243 ,0.247432894558 ,0.247178330385 ,0.000155462788059;	1646.70650914 ,1603.16002533 ,1591.58920053 ,1589.95174004 ,1.0
