2;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
3;	0.198184103962 ,0.196747928391 ,0.203995823553 ,0.197363265278 ,0.203708878815;	0.972879067004 ,0.965828929675 ,1.00140860202 ,0.968849597651 ,1.0
4;	0.20125382754 ,0.20125382754 ,0.20125382754 ,0.20125382754 ,0.194984689838;	1.03215194848 ,1.03215194848 ,1.03215194848 ,1.03215194848 ,1.0
