1;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
2;	0.24940637311 ,0.24940637311 ,0.24940637311 ,0.24940637311 ,0.00237450755934;	105.034988046 ,105.034988046 ,105.034988046 ,105.034988046 ,1.0
3;	0.237787312359 ,0.224040130983 ,0.201916112163 ,0.266934451825 ,0.0693219926701;	3.43018576356 ,3.23187667222 ,2.91272804468 ,3.8506459717 ,1.0
4;	0.251635287836 ,0.244311556057 ,0.214712906524 ,0.289058541203 ,0.000281708380589;	893.247433072 ,867.249868628 ,762.181466079 ,1026.09138074 ,1.0
5;	0.369406979934 ,0.249099502207 ,0.185196745513 ,0.192334475724 ,0.00396229662142;	93.2305213942 ,62.8674544103 ,46.7397479816 ,48.5411603676 ,1.0
6;	0.155016691321 ,0.352514388997 ,0.163084678111 ,0.328090671436 ,0.00129357013412;	119.836325247 ,272.512776617 ,126.073317411 ,253.631915876 ,1.0
7;	4.50623132028e-146 ,6.1259931114e-130 ,9.57509430166e-136 ,4.12046664536e-146 ,1.0;	4.50623132028e-146 ,6.1259931114e-130 ,9.57509430166e-136 ,4.12046664536e-146 ,1.0
8;	0.250329020834 ,0.237680258479 ,0.249923997163 ,0.262066723524 ,7.08362110679e-150;	3.53391319299e+148 ,3.3553496848e+148 ,3.52819544404e+148 ,3.6996152049e+148 ,1.0
9;	5.8529920398e-07 ,5.87646333017e-05 ,1.63002843346e-05 ,5.44974078491e-07 ,0.999923804809;	5.85343804363e-07 ,5.87691112254e-05 ,1.63015264325e-05 ,5.45015606059e-07 ,1.0
10;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
11;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
12;	4.95803169558e-125 ,4.31967528967e-147 ,1.70865854869e-182 ,2.31442375344e-151 ,1.0;	4.95803169558e-125 ,4.31967528967e-147 ,1.70865854869e-182 ,2.31442375344e-151 ,1.0
