0;	0.25 ,0.25 ,0.25 ,0.25 ,2.50515734779e-83;	9.97941307842e+81 ,9.97941307842e+81 ,9.97941307842e+81 ,9.97941307842e+81 ,1.0
1;	0.244702120201 ,0.244702120201 ,0.244702120201 ,0.244702120201 ,0.0211915191958;	11.5471721466 ,11.5471721466 ,11.5471721466 ,11.5471721466 ,1.0
2;	0.248457048259 ,0.248457048259 ,0.248457048259 ,0.248457048259 ,0.00617180696551;	40.2567756327 ,40.2567756327 ,40.2567756327 ,40.2567756327 ,1.0
3;	0.216523686471 ,0.253098760095 ,0.225138343703 ,0.282613672073 ,0.022625537659;	9.56988027131 ,11.1864196957 ,9.95062955389 ,12.490915192 ,1.0
4;	0.222215687917 ,0.222215687917 ,0.222215687917 ,0.222215687917 ,0.111137248333;	1.99947084574 ,1.99947084574 ,1.99947084574 ,1.99947084574 ,1.0
