3;	0.00738091093679 ,0.00714897478528 ,0.007210771059 ,0.00714324132673 ,0.971116101892;	0.00760044130914 ,0.00736160668261 ,0.00742524096238 ,0.00735570269385 ,1.0
4;	0.238843508025 ,0.248580527246 ,0.245731445151 ,0.249670472591 ,0.0171740469865;	13.9072350398 ,14.4741962941 ,14.3083016685 ,14.5376609711 ,1.0
5;	0.227782499411 ,0.24395997327 ,0.226274783342 ,0.239171764728 ,0.0628109792498;	3.62647585074 ,3.8840339091 ,3.60247182968 ,3.80780187771 ,1.0
6;	0.225727571773 ,0.222254112036 ,0.212430100038 ,0.222928743832 ,0.11665947232;	1.93492707694 ,1.90515272884 ,1.82094171878 ,1.91093564371 ,1.0
7;	4.58846978952e-97 ,3.07235873968e-107 ,1.57601791461e-107 ,2.62165600857e-87 ,1.0;	4.58846978952e-97 ,3.07235873968e-107 ,1.57601791461e-107 ,2.62165600857e-87 ,1.0
8;	0.251035048418 ,0.249813789785 ,0.250732887809 ,0.248418273987 ,1.51134501621e-88;	1.66100424275e+87 ,1.65292363495e+87 ,1.65900495995e+87 ,1.6436900332e+87 ,1.0
9;	5.6852474631e-16 ,3.01924314006e-09 ,2.09141424831e-13 ,2.97470052766e-12 ,0.999999996978;	5.68524748028e-16 ,3.01924314919e-09 ,2.09141425463e-13 ,2.97470053666e-12 ,1.0
10;	0.250859469661 ,0.24535066188 ,0.251710849955 ,0.252079018504 ,6.78362661308e-13;	369801411500.0 ,361680670051.0 ,371056463322.0 ,371599194475.0 ,1.0
11;	0.224027393636 ,0.224449784554 ,0.229233058174 ,0.226986029468 ,0.0953037341673;	2.35066753254 ,2.35509958256 ,2.40528936434 ,2.38171181277 ,1.0
12;	0.234524059429 ,0.226532604811 ,0.229072678068 ,0.238443453707 ,0.0714272039849;	3.28339969011 ,3.17151718355 ,3.20707888995 ,3.33827226048 ,1.0
