0;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
1;	0.14466620752 ,0.14466620752 ,0.14466620752 ,0.14466620752 ,0.421335169922;	0.343351843964 ,0.343351843964 ,0.343351843964 ,0.343351843964 ,1.0
2;	0.234434259678 ,0.234434259678 ,0.234434259678 ,0.234434259678 ,0.0622629612874;	3.7652282325 ,3.7652282325 ,3.7652282325 ,3.7652282325 ,1.0
3;	0.235397878449 ,0.236380803943 ,0.228273838541 ,0.238430069846 ,0.0615174092216;	3.82652457942 ,3.84250258478 ,3.71071931393 ,3.87581455173 ,1.0
4;	0.225894711362 ,0.235872659686 ,0.238218043437 ,0.229682789692 ,0.0703317958228;	3.21184335931 ,3.35371302448 ,3.38706044186 ,3.26570347032 ,1.0
5;	0.171161204471 ,0.170609228483 ,0.170895618116 ,0.16834920879 ,0.318984740139;	0.536581168104 ,0.534850753077 ,0.535748569166 ,0.52776571292 ,1.0
6;	6.90788961054e-08 ,8.19643467682e-07 ,1.49543092313e-07 ,5.94149739689e-07 ,0.999998367585;	6.9079008871e-08 ,8.19644805683e-07 ,1.4954333643e-07 ,5.94150709589e-07 ,1.0
7;	0.257623157377 ,0.259621932572 ,0.23647613659 ,0.246278743144 ,3.03163053843e-08;	8497841.47877 ,8563772.17742 ,7800295.37217 ,8123639.7385 ,1.0
8;	0.081028715024 ,0.0869218201712 ,0.0903280441888 ,0.089633168417 ,0.652088252199;	0.124260350881 ,0.133297632457 ,0.138521195381 ,0.137455579233 ,1.0
9;	0.231199158693 ,0.231199158693 ,0.229539251023 ,0.234052062344 ,0.0740103692465;	3.12387522244 ,3.12387522244 ,3.10144718044 ,3.16242257304 ,1.0
10;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
11;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
12;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
