2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
3;	0.000142112057712 ,4.92910448313e-05 ,2.21330816229e-05 ,4.05006535311e-19 ,0.999786463816;	0.00014214241026 ,4.9301572501e-05 ,2.21378088461e-05 ,4.05093037332e-19 ,1.0
4;	0.205065254446 ,0.0842473237416 ,0.677463221568 ,0.0332242002446 ,1.30333419697e-16;	1.57338965648e+15 ,6.4639847506e+14 ,5.19792408687e+15 ,2.54916968509e+14 ,1.0
5;	0.36656976011 ,0.143203766453 ,0.161567124303 ,0.328641210791 ,1.81383427931e-05;	20209.6610639 ,7895.08545991 ,8907.49095141 ,18118.5907963 ,1.0
6;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
7;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
8;	0.209157405019 ,0.172342377294 ,0.250282249395 ,0.215822810876 ,0.152395157417;	1.37246752826 ,1.13089142867 ,1.6423241633 ,1.41620517695 ,1.0
9;	0.192512897558 ,0.189133693012 ,0.189806618667 ,0.190882168929 ,0.237664621834;	0.810019160916 ,0.795800786639 ,0.798632195243 ,0.803157691103 ,1.0
10;	0.160906677351 ,0.168890659088 ,0.26197183019 ,0.147351176472 ,0.260879656898;	0.616785069654 ,0.647389149068 ,1.00418650233 ,0.564824326374 ,1.0
11;	0.213336712521 ,0.188411829433 ,0.225878823689 ,0.197484473387 ,0.17488816097;	1.21984650841 ,1.07732752399 ,1.29156154674 ,1.12920435718 ,1.0
12;	0.19718283711 ,0.209349850359 ,0.209427874207 ,0.219224909495 ,0.164814528829;	1.1963923236 ,1.27021477928 ,1.27068818322 ,1.33013097238 ,1.0
