1;	4.3632631045e-09 ,4.3632631045e-09 ,4.3632631045e-09 ,4.3632631045e-09 ,0.999999982547;	4.36326318065e-09 ,4.36326318065e-09 ,4.36326318065e-09 ,4.36326318065e-09 ,1.0
2;	0.248880352883 ,0.248880352883 ,0.248880352883 ,0.248880352883 ,0.00447858846932;	55.571159214 ,55.571159214 ,55.571159214 ,55.571159214 ,1.0
3;	0.307502370646 ,0.205135430122 ,0.216868187938 ,0.255475758481 ,0.0150182528142;	20.4752426564 ,13.6590742385 ,14.4403074459 ,17.0110173028 ,1.0
4;	0.238056012027 ,0.263600330577 ,0.230506744572 ,0.262488888474 ,0.00534802435091;	44.5128885747 ,49.289291387 ,43.10128927 ,49.0814684546 ,1.0
5;	1.10001999027e-09 ,2.75270463035e-05 ,3.47097556842e-07 ,4.95146040704e-10 ,0.999972124261;	1.10005065499e-09 ,2.75278136616e-05 ,3.47107232713e-07 ,4.9515984365e-10 ,1.0
6;	0.241221490127 ,0.247979609077 ,0.262305559435 ,0.248493341358 ,2.90559792772e-12;	83019569853.8 ,85345465975.1 ,90275931481.2 ,85522273741.9 ,1.0
7;	5.83033011039e-34 ,3.76589646974e-40 ,3.83870152553e-37 ,1.95236332721e-23 ,1.0;	5.83033011039e-34 ,3.76589646974e-40 ,3.83870152553e-37 ,1.95236332721e-23 ,1.0
8;	0.25248284552 ,0.241465091617 ,0.253243608229 ,0.252808454634 ,1.17154524982e-25;	2.15512670603e+24 ,2.06108207647e+24 ,2.16162037504e+24 ,2.1579060192e+24 ,1.0
9;	0.109011234194 ,0.0032021849404 ,0.0673231712644 ,0.286481212672 ,0.533982196929;	0.204147694102 ,0.00599680093984 ,0.126077557738 ,0.536499558074 ,1.0
10;	0.250351904133 ,0.238999589793 ,0.251554074669 ,0.247090274781 ,0.0120041566243;	20.8554346606 ,19.9097360417 ,20.9555808494 ,20.5837263303 ,1.0
11;	0.174476876111 ,0.332203235349 ,0.0156368942511 ,0.242391252843 ,0.235291741446;	0.741534212115 ,1.41187800858 ,0.0664574717116 ,1.03017322815 ,1.0
12;	0.2390531963 ,0.236705363076 ,0.236977541148 ,0.236899941321 ,0.050363958155;	4.74651328167 ,4.69989595232 ,4.70530017555 ,4.70375939459 ,1.0
