5;	4.1751240408e-07 ,4.0103269381e-07 ,3.0957789119e-07 ,2.58775368353e-07 ,0.999998613102;	4.17512983129e-07 ,4.01033250002e-07 ,3.09578320544e-07 ,2.58775727249e-07 ,1.0
6;	7.16599413181e-27 ,6.01299562591e-24 ,2.31119872799e-24 ,3.17195893806e-25 ,1.0;	7.16599413181e-27 ,6.01299562591e-24 ,2.31119872799e-24 ,3.17195893806e-25 ,1.0
7;	0.239097367797 ,0.249005208528 ,0.263968094978 ,0.247929328697 ,1.57971138973e-33;	1.5135509521e+32 ,1.57627026144e+32 ,1.67098937625e+32 ,1.56945965136e+32 ,1.0
8;	0.0647792578653 ,0.0652261818095 ,0.0684181790026 ,0.0646194541247 ,0.736956927198;	0.087901009509 ,0.0885074546453 ,0.0928387758872 ,0.0876841667944 ,1.0
9;	0.220510427919 ,0.220588636535 ,0.227307799569 ,0.224807267213 ,0.106785868764;	2.06497760866 ,2.06570999598 ,2.12863183303 ,2.1052155104 ,1.0
10;	0.157209376888 ,0.156011020542 ,0.160189727777 ,0.156937577169 ,0.369652297626;	0.425289868066 ,0.42204802065 ,0.433352447166 ,0.424554583257 ,1.0
11;	0.228326457302 ,0.229168436441 ,0.226796941 ,0.228500311188 ,0.0872078540702;	2.6181868564 ,2.62784171087 ,2.60064811155 ,2.62018041407 ,1.0
12;	0.221986794966 ,0.220875036457 ,0.220269647107 ,0.220853535567 ,0.116014985903;	1.91343207292 ,1.90384918585 ,1.89863098628 ,1.9036638573 ,1.0
