6;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
7;	0.251755828393 ,0.338294195241 ,0.183707789044 ,0.178406853776 ,0.0478353335454;	5.2629679723 ,7.07205678665 ,3.84042036353 ,3.72960405109 ,1.0
8;	0.0371112879375 ,0.00482532722595 ,0.0295096943634 ,0.0427948702086 ,0.885758820265;	0.0418977345621 ,0.00544767617951 ,0.0333157217159 ,0.0483143596536 ,1.0
9;	2.8592690089e-22 ,5.33903075455e-25 ,8.38412772331e-17 ,2.99050885742e-20 ,1.0;	2.8592690089e-22 ,5.33903075455e-25 ,8.38412772331e-17 ,2.99050885742e-20 ,1.0
10;	8.25311427042e-211 ,1.24112385806e-212 ,2.1150130726e-129 ,6.61302027554e-143 ,1.0;	8.25311427042e-211 ,1.24112385806e-212 ,2.1150130726e-129 ,6.61302027554e-143 ,1.0
11;	1.47694618308e-44 ,3.7607597733e-65 ,1.52227259539e-76 ,4.58433332006e-33 ,1.0;	1.47694618308e-44 ,3.7607597733e-65 ,1.52227259539e-76 ,4.58433332006e-33 ,1.0
12;	0.526336202517 ,0.0491170585828 ,0.164435766017 ,0.254676585163 ,0.00543438771998;	96.8528985486 ,9.03819549021 ,30.2583795067 ,46.8638967785 ,1.0
