7;	0.199916944148 ,0.199259965682 ,0.200587873136 ,0.201261539718 ,0.198973677316;	1.0047406614 ,1.00143882532 ,1.00811260987 ,1.01149831692 ,1.0
8;	0.198910526507 ,0.199587876115 ,0.198909245832 ,0.200235944078 ,0.202356407468;	0.982971228814 ,0.98631853872 ,0.982964900002 ,0.989521145307 ,1.0
9;	0.20020206183 ,0.199884093885 ,0.200015969113 ,0.199913293652 ,0.19998458152;	1.00108748538 ,0.999497523088 ,1.00015695006 ,0.99964353318 ,1.0
10;	0.198988152003 ,0.200997590966 ,0.199837137972 ,0.19891737942 ,0.20125973964;	0.988713154252 ,0.99869746093 ,0.992931513923 ,0.98836150626 ,1.0
11;	0.200407896633 ,0.200377334495 ,0.200602426164 ,0.200267301031 ,0.198345041677;	1.01040033539 ,1.01024624967 ,1.01138109866 ,1.00969149185 ,1.0
12;	0.199904641655 ,0.199813360238 ,0.200445463008 ,0.199641526584 ,0.200195008515;	0.998549579918 ,0.998093617416 ,1.00125105263 ,0.997235286058 ,1.0
