1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.01162942771 ,1.01162942771 ,1.01162942771 ,1.01162942771 ,1.01162942771
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
3;	0.195792179596 ,0.215467702837 ,0.215938537868 ,0.185972800231 ,0.186828779468;	0.0877173837947 ,0.0965322681636 ,0.0967432082391 ,0.0833181770944 ,0.083701666667
4;	0.195649161503 ,0.203098370126 ,0.200634760756 ,0.200840524327 ,0.199777183287;	1.10336031579 ,1.14537000862 ,1.131476523 ,1.13263692337 ,1.12664022859
5;	0.204735671037 ,0.187130583705 ,0.189893453864 ,0.209311532365 ,0.208928759029;	1.07401456382 ,0.98166074929 ,0.996154377945 ,1.09801888942 ,1.09601091428
6;	0.199306342936 ,0.199312403274 ,0.200350994836 ,0.200348210872 ,0.200682048081;	0.89183165873 ,0.89185877679 ,0.896506139347 ,0.896493682006 ,0.897987495934
7;	0.20106376201 ,0.199375505744 ,0.199740490453 ,0.200054395977 ,0.199765845815;	0.999541552639 ,0.991148780752 ,0.992963217025 ,0.994523725052 ,0.993089265285
8;	0.200761099965 ,0.198975366763 ,0.201599865406 ,0.199821845688 ,0.198841822179;	1.00813806593 ,0.99917086254 ,1.01234999428 ,1.00342152478 ,0.99850025763
9;	0.198425160051 ,0.19902013321 ,0.200595043073 ,0.202974805474 ,0.198984858192;	1.00475485033 ,1.00776758403 ,1.01574237072 ,1.02779264607 ,1.00758896382
10;	0.199097454423 ,0.20022078729 ,0.200601869214 ,0.200201605057 ,0.199878284017;	0.994420616159 ,1.00003126229 ,1.00193463028 ,0.99993545389 ,0.998320580867
11;	0.199789984562 ,0.200336269775 ,0.19981838409 ,0.200371512236 ,0.199683849337;	0.99690917682 ,0.999635022881 ,0.997050884378 ,0.999810875206 ,0.996379584809
12;	0.199512385249 ,0.200186739479 ,0.200208019992 ,0.199845468056 ,0.200247387224;	0.997671962194 ,1.00104410527 ,1.00115051957 ,0.999337559933 ,1.00134737744
