2;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
3;	0.201084175787 ,0.20011840937 ,0.199599031183 ,0.199597424799 ,0.199600958861;	1.00743091083 ,1.00259242496 ,0.999990342339 ,0.99998229436 ,1.0
4;	0.200000708228 ,0.200000708228 ,0.200000708228 ,0.200000708228 ,0.199997167088;	1.00001770595 ,1.00001770595 ,1.00001770595 ,1.00001770595 ,1.0
