0;	0.0146019965086 ,0.0146019965086 ,0.0146019965086 ,0.0146019965086 ,0.941592013966;	0.0155077743779 ,0.0155077743779 ,0.0155077743779 ,0.0155077743779 ,1.0
1;	0.14877490568 ,0.14877490568 ,0.14877490568 ,0.14877490568 ,0.404900377279;	0.367435828734 ,0.367435828734 ,0.367435828734 ,0.367435828734 ,1.0
2;	0.242980251952 ,0.242980251952 ,0.242980251952 ,0.242980251952 ,0.0280789921901;	8.65345345402 ,8.65345345402 ,8.65345345402 ,8.65345345402 ,1.0
3;	0.250455747131 ,0.235030555766 ,0.236736347879 ,0.235120652044 ,0.0426566971795;	5.87142849051 ,5.5098160736 ,5.54980492003 ,5.51192819863 ,1.0
4;	0.23409422968 ,0.23409422968 ,0.23409422968 ,0.23409422968 ,0.0636230812789;	3.67939158203 ,3.67939158203 ,3.67939158203 ,3.67939158203 ,1.0
