1;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
2;	0.249183835341 ,0.249183835341 ,0.249183835341 ,0.249183835341 ,0.00326465863437;	76.3276848361 ,76.3276848361 ,76.3276848361 ,76.3276848361 ,1.0
3;	0.27568373906 ,0.260895248345 ,0.211055011105 ,0.242703835131 ,0.00966216635894;	28.5322906705 ,27.0017342543 ,21.843446207 ,25.1189874108 ,1.0
4;	0.249817787572 ,0.246583135819 ,0.247947404656 ,0.250873894651 ,0.00477777730148;	52.2874491231 ,51.6104289212 ,51.8959735898 ,52.5084948128 ,1.0
5;	3.65748969979e-93 ,5.551679347e-101 ,4.84990953357e-97 ,2.9622424561e-98 ,1.0;	3.65748969979e-93 ,5.551679347e-101 ,4.84990953357e-97 ,2.9622424561e-98 ,1.0
6;	0.254290341615 ,0.244881259378 ,0.246545446255 ,0.254282952752 ,2.36565230701e-100;	1.07492694874e+99 ,1.03515321611e+99 ,1.04218800677e+99 ,1.07489571481e+99 ,1.0
7;	0.236340489389 ,0.228135143619 ,0.239461934091 ,0.238779263462 ,0.0572831694373;	4.12582773807 ,3.98258591241 ,4.18031921843 ,4.16840174536 ,1.0
8;	0.107955727355 ,0.107114563383 ,0.102601703716 ,0.101178163889 ,0.581149841657;	0.18576229333 ,0.184314880097 ,0.176549482356 ,0.174099959489 ,1.0
9;	0.192147363904 ,0.185377527952 ,0.184161207482 ,0.185177279666 ,0.253136620994;	0.759065848117 ,0.732322045006 ,0.727517048933 ,0.731530976984 ,1.0
10;	0.21218513479 ,0.214826817945 ,0.212643183825 ,0.21278745807 ,0.14755740537;	1.43798363938 ,1.45588638813 ,1.44108784844 ,1.44206559838 ,1.0
11;	0.225000167257 ,0.223077741709 ,0.229313310186 ,0.228192631789 ,0.0944161490579;	2.38306867525 ,2.36270748103 ,2.42875093376 ,2.4168813711 ,1.0
12;	0.218324430761 ,0.219733364072 ,0.219382740389 ,0.218320960527 ,0.124238504252;	1.75730086317 ,1.76864141592 ,1.76581923382 ,1.75727293114 ,1.0
