9;	0.00586356636421 ,0.00550081805156 ,0.00687180588072 ,0.0128253446611 ,0.968938465042;	0.0060515363728 ,0.0056771593347 ,0.00709209730922 ,0.0132364903694 ,1.0
10;	0.235082926509 ,0.26860640256 ,0.215660181338 ,0.270514898229 ,0.0101355913637;	23.1938046901 ,26.5013054415 ,21.2775134275 ,26.6896018714 ,1.0
11;	0.244587290669 ,0.220616415719 ,0.247518777674 ,0.248509491446 ,0.038768024492;	6.30899546402 ,5.6906798479 ,6.38461156889 ,6.41016648906 ,1.0
12;	0.235747869935 ,0.237324962586 ,0.238031824324 ,0.236212100572 ,0.0526832425839;	4.4748170077 ,4.50475238322 ,4.5181695858 ,4.48362874011 ,1.0
