2;	7.57663181875e-05 ,7.57663181875e-05 ,7.57663181875e-05 ,7.57663181875e-05 ,0.999696934727;	7.57892872885e-05 ,7.57892872885e-05 ,7.57892872885e-05 ,7.57892872885e-05 ,1.0
3;	1.37992646691e-89 ,2.94470063643e-71 ,5.17573948717e-26 ,5.53003710031e-57 ,1.0;	1.37992646691e-89 ,2.94470063643e-71 ,5.17573948717e-26 ,5.53003710031e-57 ,1.0
4;	nan ,0.0 ,nan ,0.0 ,0.0;	inf ,3.854552279e+232 ,inf ,0.0 ,1.0
5;	5.20764819785e-24 ,3.12258845843e-276 ,4.23615521927e-67 ,1.0 ,1.12121351825e-283;	4.64465341621e+259 ,27850078.5764 ,3.7781877852e+216 ,8.91890780588e+282 ,1.0
6;	0.0 ,nan ,0.0 ,nan ,0.0;	3.98521827342e-76 ,inf ,9.41664631225e-194 ,inf ,1.0
7;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
8;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
9;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
10;	nan ,0.0 ,0.0 ,0.0 ,0.0;	inf ,0.0 ,3.22339612231e-67 ,0.0 ,1.0
11;	nan ,nan ,nan ,nan ,0.0;	inf ,inf ,inf ,inf ,1.0
12;	0.0 ,0.0 ,0.0 ,0.0 ,1.0;	0.0 ,0.0 ,0.0 ,0.0 ,1.0
