0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	2097.12049101 ,2097.12049101 ,2097.12049101 ,2097.12049101 ,2097.12049101
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	36.1281942639 ,36.1281942639 ,36.1281942639 ,36.1281942639 ,36.1281942639
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	293.682231885 ,293.682231885 ,293.682231885 ,293.682231885 ,293.682231885
3;	4.55294075029e-16 ,1.99727662627e-27 ,4.60318953724e-18 ,4.91074913837e-18 ,1.0;	0.0510257298116 ,2.23838839731e-13 ,0.000515888781517 ,0.000550357609399 ,1.12072026873e+14
4;	2.47076502191e-12 ,2.59190190135e-10 ,1.76973143338e-10 ,3.70841087186e-11 ,0.999999999524;	4.47418619508e-15 ,4.69354697965e-13 ,3.20471913678e-13 ,6.71537786126e-14 ,0.00181085054761
