1;	0.247724394065 ,0.247724394065 ,0.247724394065 ,0.247724394065 ,0.00910242374197;	27.2152122431 ,27.2152122431 ,27.2152122431 ,27.2152122431 ,1.0
2;	0.24999927716 ,0.24999927716 ,0.24999927716 ,0.24999927716 ,2.89136143742e-06;	86464.2081491 ,86464.2081491 ,86464.2081491 ,86464.2081491 ,1.0
3;	0.24249444502 ,0.25550798063 ,0.186976243249 ,0.315014262438 ,7.06866304488e-06;	34305.5601151 ,36146.5780739 ,26451.4296497 ,44564.9001004 ,1.0
4;	5.73857376237e-05 ,3.71317095127e-05 ,4.68715276142e-05 ,3.41104328819e-05 ,0.999824500592;	5.73958105544e-05 ,3.71382272496e-05 ,4.68797549835e-05 ,3.41164202935e-05 ,1.0
