1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	0.0438789229862 ,0.0438789229862 ,0.0438789229862 ,0.0438789229862 ,0.0438789229862
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	2.34396025596 ,2.34396025596 ,2.34396025596 ,2.34396025596 ,2.34396025596
3;	0.411053235197 ,2.51367515661e-05 ,0.000670746462827 ,0.588146891486 ,0.000103990103081;	3.58334935411e+13 ,2191291900.32 ,58472205022.0 ,5.12716019061e+13 ,9065318961.16
4;	0.0706139083087 ,0.514457805989 ,0.0670619663557 ,0.18080979436 ,0.167056524987;	1.08506557051e-14 ,7.90524793382e-14 ,1.030485814e-14 ,2.77835468068e-14 ,2.56701955653e-14
