0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	172.388524176 ,172.388524176 ,172.388524176 ,172.388524176 ,172.388524176
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	7105.83517217 ,7105.83517217 ,7105.83517217 ,7105.83517217 ,7105.83517217
3;	0.203971634942 ,0.237700634045 ,0.226269126318 ,0.140265167701 ,0.191793436994;	727407109798.0 ,847692039418.0 ,806924802353.0 ,500216024014.0 ,683977013378.0
4;	0.000788490479679 ,0.36665729255 ,0.0721685663351 ,0.551993130396 ,0.00839252023894;	9.32783055597e-28 ,4.33755027507e-25 ,8.53753058014e-26 ,6.53007045879e-25 ,9.92833886317e-27
