1;	1.58764694774e-13 ,1.58764694774e-13 ,1.58764694774e-13 ,1.58764694774e-13 ,0.999999999999;	1.58764694775e-13 ,1.58764694775e-13 ,1.58764694775e-13 ,1.58764694775e-13 ,1.0
2;	0.249999995206 ,0.249999995206 ,0.249999995206 ,0.249999995206 ,1.9176487529e-08;	13036798.0491 ,13036798.0491 ,13036798.0491 ,13036798.0491 ,1.0
3;	0.999944136275 ,3.91719562921e-05 ,1.2041187729e-08 ,9.59589229813e-09 ,1.66701312034e-05;	59984.1791329 ,2.34982891341 ,0.000722321113258 ,0.000575633879603 ,1.0
4;	0.19672533873 ,0.0498169389655 ,0.122558553872 ,0.630580383386 ,0.000318785047192;	617.109680842 ,156.271253637 ,384.455152307 ,1978.07390572 ,1.0
