0;	0.249971595547 ,0.249971595547 ,0.249971595547 ,0.249971595547 ,0.000113617811448;	2200.10922901 ,2200.10922901 ,2200.10922901 ,2200.10922901 ,1.0
1;	0.24792848852 ,0.24792848852 ,0.24792848852 ,0.24792848852 ,0.00828604591907;	29.9212061992 ,29.9212061992 ,29.9212061992 ,29.9212061992 ,1.0
2;	0.249999451493 ,0.249999451493 ,0.249999451493 ,0.249999451493 ,2.1940288411e-06;	113945.380667 ,113945.380667 ,113945.380667 ,113945.380667 ,1.0
3;	0.0544830179368 ,0.228361627709 ,0.0407111610098 ,0.676444193139 ,2.05258678442e-10;	265435879.986 ,1112555286.05 ,198340753.818 ,3295569270.32 ,1.0
4;	1.17499526408e-14 ,1.68339059859e-15 ,5.1631190233e-15 ,6.29586484825e-16 ,1.0;	1.17499526408e-14 ,1.68339059859e-15 ,5.1631190233e-15 ,6.29586484825e-16 ,1.0
