1;	0.236101792111 ,0.236101792111 ,0.236101792111 ,0.236101792111 ,0.0555928315569;	4.24698266843 ,4.24698266843 ,4.24698266843 ,4.24698266843 ,1.0
2;	0.23451393929 ,0.23451393929 ,0.23451393929 ,0.23451393929 ,0.0619442428415;	3.78588757457 ,3.78588757457 ,3.78588757457 ,3.78588757457 ,1.0
3;	0.27035760717 ,0.194959382426 ,0.256365176867 ,0.278317833535 ,1.57519130539e-12;	171634776199.0 ,123768701465.0 ,162751772430.0 ,176688274359.0 ,1.0
4;	4.24045528384e-10 ,3.29264035015e-10 ,3.8652839058e-10 ,4.21573438387e-10 ,0.999999998439;	4.24045529046e-10 ,3.29264035529e-10 ,3.86528391184e-10 ,4.21573439046e-10 ,1.0
