1;	0.246380457386 ,0.246380457386 ,0.246380457386 ,0.246380457386 ,0.0144781704558;	17.0173750985 ,17.0173750985 ,17.0173750985 ,17.0173750985 ,1.0
2;	0.24994354769 ,0.24994354769 ,0.24994354769 ,0.24994354769 ,0.000225809238216;	1106.87919443 ,1106.87919443 ,1106.87919443 ,1106.87919443 ,1.0
3;	9.93073065598e-08 ,6.37081510042e-22 ,0.999728475775 ,8.12289627128e-07 ,0.000270612627966;	0.000366972181994 ,2.35421944213e-18 ,3694.31568397 ,0.00300166933537 ,1.0
4;	4.6224952003e-20 ,5.06073822996e-18 ,9.15345976728e-20 ,7.35978403166e-19 ,1.0;	4.6224952003e-20 ,5.06073822996e-18 ,9.15345976728e-20 ,7.35978403166e-19 ,1.0
