1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	28.0722312504 ,28.0722312504 ,28.0722312504 ,28.0722312504 ,28.0722312504
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	0.803391286967 ,0.803391286967 ,0.803391286967 ,0.803391286967 ,0.803391286967
3;	0.38048384191 ,0.292248560537 ,0.0725246387111 ,0.205579027953 ,0.0491639308893;	454073750.048 ,348772760.396 ,86551729.7794 ,245340353.181 ,58672795.0232
4;	0.28639580826 ,0.184633655821 ,0.11555117449 ,0.179627638941 ,0.233791722488;	3.29145170307e-10 ,2.12193315464e-10 ,1.32799118946e-10 ,2.06440066879e-10 ,2.68689045353e-10
