0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	2.93083717813e-05 ,2.93083717813e-05 ,2.93083717813e-05 ,2.93083717813e-05 ,2.93083717813e-05
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	7549.56552468 ,7549.56552468 ,7549.56552468 ,7549.56552468 ,7549.56552468
3;	0.216248089351 ,0.168472829773 ,0.22446581197 ,0.178500151473 ,0.212313117434;	186949958075.0 ,145647476273.0 ,194054311707.0 ,154316257473.0 ,183548111441.0
4;	0.197523221138 ,0.215257783953 ,0.231382865613 ,0.174600482443 ,0.181235646853;	1.8980581499e-07 ,2.06847472822e-07 ,2.22342533345e-07 ,1.67778687877e-07 ,1.74154610571e-07
