0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	3617496.17529 ,3617496.17529 ,3617496.17529 ,3617496.17529 ,3617496.17529
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	11.8158149129 ,11.8158149129 ,11.8158149129 ,11.8158149129 ,11.8158149129
3;	0.102258983499 ,0.111710641738 ,0.473699748835 ,0.0648012072512 ,0.247529418677;	5.72603213904e+14 ,6.25528147238e+14 ,2.65250043887e+15 ,3.6285691748e+14 ,1.386050749e+15
4;	0.289899543886 ,0.307732910865 ,0.104382335059 ,0.129919761981 ,0.168065448209;	4.84352104341e-12 ,5.14147352405e-12 ,1.74397665358e-12 ,2.17064536452e-12 ,2.80796762961e-12
