1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	176.331164903 ,176.331164903 ,176.331164903 ,176.331164903 ,176.331164903
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1519.31324333 ,1519.31324333 ,1519.31324333 ,1519.31324333 ,1519.31324333
3;	0.193009409668 ,0.198891068241 ,0.198077917918 ,0.217826644406 ,0.192194959767;	1589687.74016 ,1638130.97689 ,1631433.6086 ,1794090.48858 ,1582979.66813
4;	0.172959675564 ,0.226301718878 ,0.190614445477 ,0.148652937102 ,0.261471222979;	1.65054320756e-07 ,2.15958294172e-07 ,1.81902155644e-07 ,1.41858554498e-07 ,2.49520328744e-07
