1;	0.249998442554 ,0.249998442554 ,0.249998442554 ,0.249998442554 ,6.2297857323e-06;	40129.5410944 ,40129.5410944 ,40129.5410944 ,40129.5410944 ,1.0
2;	0.247069157012 ,0.247069157012 ,0.247069157012 ,0.247069157012 ,0.0117233719537;	21.0749226406 ,21.0749226406 ,21.0749226406 ,21.0749226406 ,1.0
3;	0.293100921999 ,0.256322749723 ,0.397250254233 ,0.0533260740456 ,1.03310285906e-19;	2.83709331968e+18 ,2.48109612198e+18 ,3.8452149343e+18 ,5.16173908318e+17 ,1.0
4;	4.10830118622e-15 ,5.65578970512e-16 ,3.10719438268e-15 ,6.72894493395e-16 ,1.0;	4.10830118622e-15 ,5.65578970512e-16 ,3.10719438268e-15 ,6.72894493395e-16 ,1.0
