0;	5.94741816895e-09 ,5.94741816895e-09 ,5.94741816895e-09 ,5.94741816895e-09 ,0.99999997621;	5.94741831044e-09 ,5.94741831044e-09 ,5.94741831044e-09 ,5.94741831044e-09 ,1.0
1;	0.23560766928 ,0.23560766928 ,0.23560766928 ,0.23560766928 ,0.0575693228792;	4.09259059334 ,4.09259059334 ,4.09259059334 ,4.09259059334 ,1.0
2;	0.153722940471 ,0.153722940471 ,0.153722940471 ,0.153722940471 ,0.385108238116;	0.399168143541 ,0.399168143541 ,0.399168143541 ,0.399168143541 ,1.0
3;	0.23667151051 ,0.283039882215 ,0.0997855717298 ,0.380503035545 ,1.3878185858e-19;	1.70534904872e+18 ,2.03945879606e+18 ,7.19010198815e+17 ,2.74173468663e+18 ,1.0
4;	8.88205201547e-22 ,9.15860659201e-21 ,1.13714081929e-20 ,5.28821358578e-22 ,1.0;	8.88205201547e-22 ,9.15860659201e-21 ,1.13714081929e-20 ,5.28821358578e-22 ,1.0
