0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.68578073346 ,1.68578073346 ,1.68578073346 ,1.68578073346 ,1.68578073346
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	218.061296201 ,218.061296201 ,218.061296201 ,218.061296201 ,218.061296201
3;	2.00333422529e-12 ,0.999997091892 ,2.10318543084e-06 ,8.04913552149e-07 ,7.17088887248e-12;	1.71272576235e-13 ,0.0854935117633 ,1.79809231277e-07 ,6.88150863607e-08 ,6.13066255035e-13
4;	0.37639408984 ,0.0596798761923 ,0.193015603593 ,0.0440045786589 ,0.326905851716;	1.08356584304e-06 ,1.71806829874e-07 ,5.55654620707e-07 ,1.2668067767e-07 ,9.41098769533e-07
