1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	8335923227.08 ,8335923227.08 ,8335923227.08 ,8335923227.08 ,8335923227.08
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	590.246027475 ,590.246027475 ,590.246027475 ,590.246027475 ,590.246027475
3;	0.000103133996452 ,0.156163103457 ,0.0693061249298 ,4.2232119796e-05 ,0.774385405497;	161902.803681 ,245149467.209 ,108798808.584 ,66297.2330717 ,1215653156.02
4;	0.398427645863 ,0.000221219461925 ,2.6740403941e-06 ,0.351416901084 ,0.24993155955;	1.73637187279e-18 ,9.64087847292e-22 ,1.16536304025e-23 ,1.5314961926e-18 ,1.08921691211e-18
