1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	4668359.46511 ,4668359.46511 ,4668359.46511 ,4668359.46511 ,4668359.46511
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	132601.787147 ,132601.787147 ,132601.787147 ,132601.787147 ,132601.787147
3;	0.21187825556 ,0.229987178884 ,0.163806108957 ,0.203695912635 ,0.190632543964;	171249192672.0 ,185885609662.0 ,132395199496.0 ,164635868353.0 ,154077487398.0
4;	0.25388179567 ,0.0291127236031 ,0.245537307026 ,0.00512263226346 ,0.466345541437;	8.92919214135e-19 ,1.02391391286e-19 ,8.63571090837e-19 ,1.80166394479e-20 ,1.64016838338e-18
