0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	72.271188162 ,72.271188162 ,72.271188162 ,72.271188162 ,72.271188162
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	6.08247337582 ,6.08247337582 ,6.08247337582 ,6.08247337582 ,6.08247337582
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	27662.6391232 ,27662.6391232 ,27662.6391232 ,27662.6391232 ,27662.6391232
3;	0.24141492477 ,0.237617330996 ,0.259444338683 ,0.261523373112 ,3.24381290275e-08;	1270.62100603 ,1250.63341651 ,1365.51386349 ,1376.45628894 ,0.000170729163402
4;	5.47333613527e-11 ,4.99072390096e-11 ,3.06843860543e-11 ,2.8178227042e-11 ,0.999999999836;	0.0464919706208 ,0.0423925341412 ,0.0260641323628 ,0.0239353343447 ,849426555.655
