0;	1.16953833085e-11 ,1.16953833085e-11 ,1.16953833085e-11 ,1.16953833085e-11 ,0.999999999953;	1.16953833091e-11 ,1.16953833091e-11 ,1.16953833091e-11 ,1.16953833091e-11 ,1.0
1;	0.233585247764 ,0.233585247764 ,0.233585247764 ,0.233585247764 ,0.0656590089422;	3.55755061686 ,3.55755061686 ,3.55755061686 ,3.55755061686 ,1.0
2;	0.249949877356 ,0.249949877356 ,0.249949877356 ,0.249949877356 ,0.000200490575349;	1246.69140642 ,1246.69140642 ,1246.69140642 ,1246.69140642 ,1.0
3;	0.112504421204 ,0.192118132455 ,0.610768414432 ,0.0846090094935 ,2.24159112938e-08;	5018953.71236 ,8570614.41474 ,27247092.7649 ,3774506.79495 ,1.0
4;	2.44288029854e-09 ,1.16084504018e-09 ,1.05658903542e-09 ,2.47636423513e-10 ,0.999999995092;	2.44288031053e-09 ,1.16084504588e-09 ,1.0565890406e-09 ,2.47636424728e-10 ,1.0
