0;	0.25 ,0.25 ,0.25 ,0.25 ,1.42684358217e-21;	1.75211917496e+20 ,1.75211917496e+20 ,1.75211917496e+20 ,1.75211917496e+20 ,1.0
1;	0.243440239479 ,0.243440239479 ,0.243440239479 ,0.243440239479 ,0.0262390420825;	9.27778684579 ,9.27778684579 ,9.27778684579 ,9.27778684579 ,1.0
2;	0.233596671102 ,0.233596671102 ,0.233596671102 ,0.233596671102 ,0.0656133155933;	3.5602022088 ,3.5602022088 ,3.5602022088 ,3.5602022088 ,1.0
3;	0.00105623186863 ,0.00171748778962 ,0.2428669963 ,0.754359284036 ,5.76904868925e-12;	183085968.853 ,297707279.334 ,42098274669.2 ,130759736079.0 ,1.0
4;	1.18033384497e-18 ,1.52427430231e-17 ,3.99965667572e-17 ,3.01845482538e-18 ,1.0;	1.18033384497e-18 ,1.52427430231e-17 ,3.99965667572e-17 ,3.01845482538e-18 ,1.0
