1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	2.30822961128 ,2.30822961128 ,2.30822961128 ,2.30822961128 ,2.30822961128
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	539622989.731 ,539622989.731 ,539622989.731 ,539622989.731 ,539622989.731
3;	0.202342572818 ,0.29946701574 ,0.134903779899 ,0.245071416132 ,0.118215215411;	1.86341627083e-06 ,2.75785615422e-06 ,1.2423579228e-06 ,2.25691537859e-06 ,1.08866934323e-06
4;	0.252433610943 ,0.10458056455 ,0.447490638041 ,0.123360532168 ,0.0721346542983;	142689.48661 ,59114.739156 ,252946.543713 ,69730.2191149 ,40774.5099799
