0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	0.567058090122 ,0.567058090122 ,0.567058090122 ,0.567058090122 ,0.567058090122
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	6592127.62642 ,6592127.62642 ,6592127.62642 ,6592127.62642 ,6592127.62642
3;	0.000398991098056 ,0.00607576718786 ,0.00247520975671 ,0.989362168077 ,0.00168786388081;	0.0076189866149 ,0.116020605736 ,0.0472656911329 ,18.8924944757 ,0.0322308251447
4;	0.518288002071 ,0.0194957480728 ,0.015626582771 ,0.417002609307 ,0.0295870577775;	1.69866580311e-06 ,6.38964444961e-08 ,5.12154278444e-08 ,1.36670744723e-06 ,9.69702618245e-08
