1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	3.62449093078 ,3.62449093078 ,3.62449093078 ,3.62449093078 ,3.62449093078
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	24.4068146768 ,24.4068146768 ,24.4068146768 ,24.4068146768 ,24.4068146768
3;	7.04940534839e-24 ,2.56944001187e-20 ,2.62420915118e-29 ,1.36179855002e-32 ,1.0;	1.01241789242e-16 ,3.69016521672e-13 ,3.76882327915e-22 ,1.95578087764e-25 ,14361748.8623
4;	1.26604946091e-11 ,1.18408301313e-11 ,3.92403045261e-11 ,1.09906519885e-11 ,0.999999999925;	6.53070914712e-08 ,6.10789862758e-08 ,2.02414695173e-07 ,5.66934813293e-08 ,5158.33650125
