0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	6.92685645231 ,6.92685645231 ,6.92685645231 ,6.92685645231 ,6.92685645231
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	279272.28433 ,279272.28433 ,279272.28433 ,279272.28433 ,279272.28433
3;	0.235754519528 ,0.503471371341 ,0.017011959822 ,0.197397201451 ,0.0463649478582;	448.518696447 ,957.845150219 ,32.3649449379 ,375.544594668 ,88.2084721678
4;	0.179694673853 ,0.206729467436 ,0.163214848885 ,0.231886620002 ,0.218474389824;	5.13768899931e-05 ,5.91064658681e-05 ,4.66651078555e-05 ,6.62992013689e-05 ,6.24644818436e-05
