1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	21.5955780593 ,21.5955780593 ,21.5955780593 ,21.5955780593 ,21.5955780593
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	904427.422227 ,904427.422227 ,904427.422227 ,904427.422227 ,904427.422227
3;	2.83678587396e-06 ,5.11543526599e-06 ,4.42779574463e-06 ,7.89409888351e-06 ,0.999979725884;	1.06310809904e-05 ,1.91705010636e-05 ,1.65935171922e-05 ,2.95837642689e-05 ,3.74750366329
4;	5.29559643788e-18 ,9.36783040463e-20 ,5.49782751392e-18 ,9.93687910479e-19 ,1.0;	7.58497428961e-10 ,1.34177053712e-11 ,7.87463335451e-10 ,1.4232763658e-10 ,143231728.07
