0;	9.09618127542e-15 ,9.09618127542e-15 ,9.09618127542e-15 ,9.09618127542e-15 ,1.0;	9.09618127542e-15 ,9.09618127542e-15 ,9.09618127542e-15 ,9.09618127542e-15 ,1.0
1;	0.234701064131 ,0.234701064131 ,0.234701064131 ,0.234701064131 ,0.0611957434767;	3.83525145373 ,3.83525145373 ,3.83525145373 ,3.83525145373 ,1.0
2;	0.249919024555 ,0.249919024555 ,0.249919024555 ,0.249919024555 ,0.000323901779739;	771.588920432 ,771.588920432 ,771.588920432 ,771.588920432 ,1.0
3;	0.219915366995 ,0.257142309194 ,0.275520453948 ,0.247421869789 ,7.36575297389e-11;	2985646786.89 ,3491052579.49 ,3740560604.25 ,3359084545.28 ,1.0
4;	1.43061998183e-38 ,9.40215161272e-39 ,1.52904840277e-38 ,1.11054215629e-38 ,1.0;	1.43061998183e-38 ,9.40215161272e-39 ,1.52904840277e-38 ,1.11054215629e-38 ,1.0
