0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	2.71675947758 ,2.71675947758 ,2.71675947758 ,2.71675947758 ,2.71675947758
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	145682.58065 ,145682.58065 ,145682.58065 ,145682.58065 ,145682.58065
3;	0.925424259231 ,0.0133498579159 ,0.0295228186944 ,0.027094029574 ,0.00460903458486;	450804205.375 ,6503149.26327 ,14381523.5976 ,13198381.5538 ,2245210.40252
4;	0.142591557614 ,0.467439230464 ,0.0218935810623 ,0.314015067967 ,0.0540605628935;	2.49880591138e-12 ,8.19150819196e-12 ,3.8366794427e-13 ,5.50286932292e-12 ,9.47369229932e-13
