0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	0.285519311072 ,0.285519311072 ,0.285519311072 ,0.285519311072 ,0.285519311072
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	3.74391738285 ,3.74391738285 ,3.74391738285 ,3.74391738285 ,3.74391738285
3;	0.00549932960327 ,0.0227073608198 ,0.373109282856 ,0.434496262191 ,0.16418776453;	109863114882.0 ,453637364987.0 ,7.45380818449e+12 ,8.68016944112e+12 ,3.28006876076e+12
4;	0.039044164009 ,0.126009719941 ,0.414702994612 ,0.407318451847 ,0.0129246695907;	5.08905960208e-13 ,1.64242465294e-12 ,5.40528478534e-12 ,5.30903383665e-12 ,1.68461575638e-13
