1;	0.249999657242 ,0.249999657242 ,0.249999657242 ,0.249999657242 ,1.37103141631e-06;	182344.222217 ,182344.222217 ,182344.222217 ,182344.222217 ,1.0
2;	0.249999987217 ,0.249999987217 ,0.249999987217 ,0.249999987217 ,5.11325768587e-08;	4889250.70034 ,4889250.70034 ,4889250.70034 ,4889250.70034 ,1.0
3;	2.3015842185e-10 ,9.37491169566e-08 ,1.32287802607e-07 ,1.9221153809e-09 ,0.999999771811;	2.3015847437e-10 ,9.37491383492e-08 ,1.32287832794e-07 ,1.9221158195e-09 ,1.0
4;	0.00045240345771 ,0.000523770919617 ,0.000491847663426 ,0.000465765682909 ,0.998066212276;	0.000453280005019 ,0.000524785743846 ,0.000492800635245 ,0.00046666811999 ,1.0
