0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	353.570713584 ,353.570713584 ,353.570713584 ,353.570713584 ,353.570713584
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	2215.50366528 ,2215.50366528 ,2215.50366528 ,2215.50366528 ,2215.50366528
3;	0.208950374706 ,0.209008202583 ,0.177250122162 ,0.209237542575 ,0.195553757975;	27562511.7264 ,27570139.7651 ,23380951.4698 ,27600391.8583 ,25795372.4893
4;	0.207088180604 ,0.15363842931 ,0.217726875617 ,0.211045918581 ,0.210500595887;	2.58503214263e-08 ,1.91783170316e-08 ,2.71783242358e-08 ,2.63443563758e-08 ,2.62762850504e-08
