0;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	2.65954397155 ,2.65954397155 ,2.65954397155 ,2.65954397155 ,2.65954397155
1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	1.0 ,1.0 ,1.0 ,1.0 ,1.0
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	39.7295427336 ,39.7295427336 ,39.7295427336 ,39.7295427336 ,39.7295427336
3;	0.198010214221 ,0.207507657914 ,0.198796727035 ,0.188419232319 ,0.207266168511;	49926710.4651 ,52321415.8257 ,50125023.4548 ,47508420.1846 ,52260526.1815
4;	0.195673062003 ,0.162064315962 ,0.149067505236 ,0.233584466842 ,0.259610649957;	7.33705009783e-08 ,6.07684058864e-08 ,5.58950599882e-08 ,8.75859414551e-08 ,9.73448427271e-08
