1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	0.58856074919 ,0.58856074919 ,0.58856074919 ,0.58856074919 ,0.58856074919
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	17.0987499923 ,17.0987499923 ,17.0987499923 ,17.0987499923 ,17.0987499923
3;	0.161797221858 ,0.292994091328 ,0.0888053563473 ,0.377954568264 ,0.0784487622023;	7.41286405788e+12 ,1.34237494552e+13 ,4.06868564647e+12 ,1.73162789967e+13 ,3.59419032685e+12
4;	0.214361012374 ,0.16210653233 ,0.214361012374 ,0.145494833084 ,0.263676609838;	3.01199080395e-10 ,2.27776207637e-10 ,3.01199080395e-10 ,2.04435076331e-10 ,3.70492523456e-10
