1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	13.7982140579 ,13.7982140579 ,13.7982140579 ,13.7982140579 ,13.7982140579
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	32223.1470328 ,32223.1470328 ,32223.1470328 ,32223.1470328 ,32223.1470328
3;	4.69564342062e-14 ,2.29388907004e-11 ,3.6137928869e-17 ,1.682416626e-11 ,0.99999999996;	1.07349537166e-07 ,5.244178655e-05 ,8.26167915816e-11 ,3.8462598188e-05 ,2286151.81235
4;	5.81234859289e-14 ,4.74360954007e-13 ,3.99300566481e-14 ,6.79726547533e-14 ,0.999999999999;	6.29160597779e-10 ,5.13474401296e-09 ,4.3222490717e-10 ,7.35773421255e-10 ,10824.5503126
