1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	3.80149275247 ,3.80149275247 ,3.80149275247 ,3.80149275247 ,3.80149275247
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	78.6511095155 ,78.6511095155 ,78.6511095155 ,78.6511095155 ,78.6511095155
3;	0.00209619265674 ,0.0030222770273 ,0.366074731479 ,0.312851858851 ,0.315954939986;	37.5459582792 ,54.1335200325 ,6556.94816553 ,5603.64659338 ,5659.22743633
4;	0.340093474628 ,0.141005779231 ,0.233684213975 ,0.173641750167 ,0.111574782;	3.54638428016e-09 ,1.47036246262e-09 ,2.43678307521e-09 ,1.81067976633e-09 ,1.16346558363e-09
