1;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	17.9578112033 ,17.9578112033 ,17.9578112033 ,17.9578112033 ,17.9578112033
2;	0.2 ,0.2 ,0.2 ,0.2 ,0.2;	42670.8310944 ,42670.8310944 ,42670.8310944 ,42670.8310944 ,42670.8310944
3;	1.6333508219e-05 ,1.48522577175e-05 ,3.59350775274e-05 ,1.02454164866e-05 ,0.99992263374;	4.71303186016e+12 ,4.28561720356e+12 ,1.03690623602e+13 ,2.95631371255e+12 ,2.8852755742e+17
4;	0.108444580672 ,0.874658094867 ,0.0151838497647 ,0.00171347454923 ,1.46397353082e-10;	1.39354569694e-19 ,1.12396213517e-18 ,1.95117066905e-20 ,2.20186667706e-21 ,1.88125031391e-28
